"<!--:en--> Kafka<!--:--><!--:ko-->카프카<!--:-->"	"<!--:ko-->Kafka는 채영과 창열 두명의 멤버로 이루어진 혼성 일렉트로닉 듀오다. 대부분의 국내 일렉트로닉 음악이 POP이라는 바탕안에서 만들어지는 것에 반해, Rock의 바탕안에서 만들어지는 만들어진 Kafka의 음악은 시작부터 다를 수 밖에 없다. Kafka는 Rock이라는 바탕안에서 분노와 슬픔, 서정이 공존하는 그들만의 세계관을 그들 고유의 일렉트로닉 스타일로 뿜어내고 있으며 트렌드를 따르는 수많은 인디 음악들 속에서 더욱 더 그 존재가 빛나고 있다.

—————-

흔히 쓰는 ‘독보적’이란 말은 카프카(Kafka)를 위해 남겨두었어야 했다. 음악노선과 퍼포먼스의 독자성이 이처럼 강한 팀을 찾기란 쉽지 않다. 사운드 디자이너이자 연주자인 창열과 강력한 개성을 지닌 보컬리스트이며 송라이터인 채영이 함께 빚어내는 스타일은 최소한 한국에서만큼은 비교대상이 없다는 것이 첫 번째 이유이다. 해외로 시선을 돌릴 경우에 매니아 장르와 연결되는 카프카의 스타일이 자체 진화의 결과라는 것은 두 번째 이유이다. 그래선지 우리 음악 씬에서 홀로 걸어온(獨步) 편이라는 것, 그것이 세 번째 이유이다.

7년 동안 이들을 지켜보았다. 일렉트로닉과 팝 센스가 만난 [Kafka](2004)는 조용히 빛을 본 데뷔앨범이었으니 그렇다고 해도, 한층 심화된 [Nothingness](2007)가 소수의 관심만 받는 장면에는 의아해하지 않을 수 없었다. 만약 비평가와 미디어 종사자들이 아예 들어보지 못했다면 다행이다. 이제 들어보면 되기 때문이다. 하지만 알고 있었음에도 외면했다면 문제가 달라진다. 그들은 나와 완전히 다른 음악관을 가지고 있을 테니 말이다.

새로운 출발인 EP는 유행과는 다른 감성과 기법으로 실험을 품는다.
한 축은 화사하며 쓸쓸하다. ‘The Most Beautiful Thing’에는 밝지만 폐쇄적인 정서가 댄서블한리듬에 얹혀있고, ‘Fail To Love’엔 떨어질 듯 말 듯한 물방울의 긴장이 서렸다. 특히 고딕 무드인 ‘Silence’는 고딕인지 아닌지가 아무런 문제가 되지 않을 정도로 아름답다. 다른 축엔 강화된 헤비니스가 자리한다. 유수의 해외 뮤지션들에 버금가는 사운드 이펙팅과 프로그래밍은 근사한 테마 멜로디와 리프를 만나 ‘When You Wake Me Up’과 같은 헤비 일렉트로닉이 되었으며, ‘Miss World’는 신비로운 인더스트리얼로 재탄생했다.

특정 지역과 문화에서 선호하는 음악이 있는 반면 거부감이 형성되거나 반응이 늦는 음악이 있다. 그러나 도피하지 않고 도발하는 카프카는 괘념치 않았고, 몽환의 팝과 헤비 일렉트로닉을 절묘하게 조형해냈다. 중간지점이 아니라 도약이다. 우렁이가 이끼 긴 어항에 길을 내듯, 카프카는 지금도 독보적이다. 햇볕 눈부신 날, 창문에 바짝 다가가 손을 이마에 갖다대고 지붕을 만들어 건물 안을 들여다보는 이들은 감춰진 그늘 속 풍경을 보게 될 것이다.<!--:--><!--:en-->A subtle combination of both experimental sound and pop melodies With the added bonuses of Electro/trip-hop and Dream pop: The second original album of the electronic duo Kafka In 2004, the electro-trip-hop duo, Kafka, electrified their fans with their first dynamic experimental album.
Recently, through collaboration with Korea ‘s main representative electro-lounge label, Feel Music, Kafka has finally released their second album. As the first among male-female electronic duos, Kafka made a debut with the first album “Kafka,” placing its own name “Kafka” for all to see. “Kafka,” with its masterful mix of electronic/trip-hop and dream pop astounded both fans and critics and now.

In the first album, not only did Kafka do what not many in Korea had ever done before by venturing into the realms of electronic and trip-hop music, but also, by utilizing English lyrics, Kafka was able to spread their music to all nationalities and find a fan base not limited to a single social circle; indeed, although defined as “electronic/trip-hop/dream pop”, Kafka’s music is not readily categorized as it has a unique color of its own. It is, at once contemporary and industrial, yet saturated with an emotion of its own.

The vocalist’s clever voice control and enchanting lines alongside the eclectic effects of the guitarist and their collaborative programming engage us in an interplay that takes the listener to a climax. But most of all, their strongest point lies in that, albeit experimental, Kafka has never once fallen into the trap of being stamped with the “Experimental Music Only” tag.

This band takes the abstract and the ideal and sensitively melds the two to create not only a unique sound but also beautiful melodies that exude lyricism; the effect is powerful and the classification of “experimental” is once shed and what remains are songs that by nature move us to the core. Of course, one must also note that, on top of all this, Kafka’s music also incorporates the decadent melancholy characteristic of trip-hop.<!--:-->"	"dream-pop:Dream Pop,electronic:Electronic"	"2013/06/Kafka.jpg"	"http://www.myspace.com/kafkakafkakafka"	"[fap_track id=""3110"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	" K.afka"	"http://msbsound.bandcamp.com/album/kafka"	"ksnowcat@naver.com"		"https://www.facebook.com/Band.Kafka"	"http://music.naver.com/artist/home.nhn?artistId=9207"	"매직스트로베리사운드"	"https://soundcloud.com/the-band-kafka"			"nJuxb8jG9pM"	"[72745]"
"<!--:en-->Herz<!--:--><!--:ko-->헤르츠<!--:-->"	"<!--:ko-->'주파수' 를 의미하는 Hz 와 발음은 같지만 다른 의미입니다.

Herz 는 '심장, 마음' 이라는 뜻의 독일어로 헤르츠라 발음합니다.

5명의 뚜렷한 개성들이 모여 만들어내는 소리는 청중의 심장을 격렬히 진동케 할 것입니다. 그들의 심장이 요동치는 주파수를 연주하기 위해 노력할 것입니다.

'Foo Fighters' 의 음악에 영감을 얻은 멤버들이 모여 2011년 결성된 밴드로 주로 부산에서 활동중이며, Alternative Rock 또는 Post-Grunge 성향의 음악을 연주합니다.

각자 필드에서, 혹은 나름의 자리에서 놓지 않고 이어오던 의지와 집념이 2011년 2월 어느 추운 겨울날 결실을 맺게 됩니다. 4월의 첫 합주, 7월의 데뷔무대에 이어 2012년 7월에는 첫번째 결과물을 발표하게 되고,

이윽고 8월 제 13회 부산국제락페스티벌 메인스테이지에 오르게 됩니다. 이후로도 쉬지않고 열심히 달리고 있습니다.

현재 첫 정규앨범을 준비중입니다.<!--:-->"	"alternative:Alternative"	"2014/02/324000_396864857037138_1166552970_o.jpg"		"[fap_track id=""12585"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Herz"		"010-7471-1978"		"https://www.facebook.com/herzband"	"http://www.melon.com/cds/album/web/albumdetailmain_list.htm?albumId=2137113"	"Realize  Records"		"https://www.twitter.com/BandHerz"			"[71492]"
"<!--:en-->Assassination Squad<!--:--><!--:ko-->조직암살단<!--:-->"	"<!--:ko-->조직암살단은 서울 출신의 3인조 펑크락 밴드입니다. 데이브(기타,보컬),윤기(베이스,보컬),석진(드럼,<wbr></wbr>보컬)로 이루어져 있으며 2012년 1월에 결성되었습니다. 2012년부터 2013년 까지 조직암살단은 EP, 2개의 컴필레이션 앨범, 그리고 로컬 펑크, 하드코어, 개러지 밴드들과 함께 여러개의 스플릿 앨범을 내었습니다. 2014년에 조직암살단은 첫번째 풀렝쓰 앨범을 발매하려고 합니다.<!--:--><!--:en-->Assassination Squad is a 3-piece punk rock band from Seoul. Dave (Guitar, Vox), Yungi (Bass, Vox), and Seokjin (Drum, Vox) formed in January, 2012. From 2012-2013, Assassination Squad released an EP, two Compilation albums, and a series of split CDs with local punk, hardcore, and garage bands. In 2014, Assassination Squad will release their first full-length album.<!--:-->"	"punk-rock:Punk Rock"	"2014/02/Ass_Enter.jpg"	"http://www.youtube.com/assasssquad"	"[fap_track id=""12528"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Assassination Squad"	"http://assquad.bandcamp.com"	"davovich@gmail.com"		"http://www.facebook.com/ass.squad"	"http://assquad.bandcamp.com"	"unsigned"	"https://soundcloud.com/seidentology"	"http://www.twitter.com/seidentology"		"_VlY2BBjUAQ"	"[70661]"
"<!--:en-->Pandaz<!--:--><!--:ko-->판다즈<!--:-->"	"<!--:ko-->판다즈는 보컬 홍순학, 베이스 임엽, 기타 강상재, 드럼 방현구으로 구성된 4인조 락밴드이다. 2005년 부산에서 결성되어 오랫동안 부산 인디씬을 지켜온 밴드가 드디어 그들의 첫 정규앨범을 발매하고 오는 24일 부산의 바이널 언더그라운드에서 첫 정규앨범 발매기념 공연을 시작으로 광주 대구 서울 전국투어 공연을 갖는다<!--:--><!--:en-->Pandaz is a 4 piece rock band. We originally formed in Busan in 2005, so have been playing for a long time now and have finially released our album. To celebrate the release of the album we will embark on a small Korean tour taking in Gwangju, Daegu, Seoul and Busan.<!--:-->"	"rock:Rock"	"2013/06/Pandaz.jpg"		"[fap_track id=""2188"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Pandaz"			"http://cafe.daum.net/pandaband"	"www.facebook.com/pandaz.co.kr"	"http://music.naver.com/artist/home.nhn?artistId=269692"	"unsigned"		"https://twitter.com/bandpandaz"		"rke3DaLw-CM"	"[70459]"
"<!--:ko-->이은수<!--:--><!--:en-->Eunsu Lee<!--:-->"	"<!--:ko-->밴드 엑티비티 보컬리스트 이은수입니다.

밴드 공연에서 들려드리지 못했던 자작곡들을 어쿠스틱으로 들려드리기 위해 2013년부터 홍대, 대학로, 인사동 등에서 버스킹을 시작했으며 2014년부터는 클럽에서 솔로 공연도 하고 있습니다.

페이스북에서 '싱어송라이터 이은수'로 검색하시면 공연정보와 영상을 보실 수 있습니다. 통기타 좋아하시는 분들은 많은 관심 가져주시면 감사하겠습니다^^<!--:--><!--:en-->Eunsu Lee is a korean singer-songwriter, musician who plays guitar.

His musical career was as a member of the Visit, MoxNox and Vito.

He busked in Hongdae, Daehak-ro, and insadong in 2013.

He is begins a solo musical career as well as a vocalist of Activity.<!--:-->"	"acoustic:Acoustic"	"2014/01/leeeunsu.jpg"	"http://facebook.com/1454541658106900"	"[fap_track id=""11778"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Eunsu Lee"				"https://www.facebook.com/pages/Lee-Eun-Su/1454541658106900"						"VG241MIvYf4"	"[69683,69684,69685,69686,69687,69688,69689,69690]"
"<!--:en-->PentaSonic<!--:--><!--:ko-->펜타소닉<!--:-->"	"<!--:ko--><b>영국</b><b></b><b>,</b><b>뉴질랜드</b><b>,</b><b>한국</b><b> </b><b>등</b><b> 3</b><b>대륙의</b><b> </b><b>다양한</b><b> </b><b>뮤지션이</b><b> </b><b>모여</b><b> </b><b>같이</b><b> </b><b>음악을</b><b> </b><b>하면</b><b> </b><b>어떤</b><b> </b><b>음악이</b><b> </b><b>나올까</b><b>? </b><b>펜타소닉은</b><b> </b><b>바로</b><b> </b><b>이러한</b><b> </b><b>질문에</b><b> </b><b>해답을</b><b> </b><b>줄</b><b> </b><b>수</b><b> </b><b>있는</b><b> </b><b>밴드이다</b><b>. </b><b>그들의</b><b> </b><b>음악은</b><b>  </b><b>영국의</b><b> </b><b>브릿팝</b><b>, </b><b>미국의</b><b> </b><b>재즈</b><b>, </b><b>뉴질랜드의</b><b> </b><b>자유로움</b><b>, </b><b>한국의</b><b> </b><b>독특한</b><b> </b><b>정서적인</b><b> </b><b>멜로디가</b><b> </b><b>결합된</b><b> </b><b>사운드이다</b><b>. Funky  </b><b>한</b><b> </b><b>리듬을</b><b> </b><b>기반으로</b><b> </b><b>재즈적인</b><b> </b><b>요소와</b><b> </b><b>동양적인</b><b> </b><b>멜로디</b><b> </b><b>감각이</b><b> </b><b>결합되어</b><b> </b><b>펜타소닉만의</b><b> </b><b>유니크한</b><b> </b><b>색깔을</b><b> </b><b>만들어</b><b> </b><b>내고</b><b> </b><b>있다</b><b>.</b>

<b> </b><b>펜타소닉의</b><b> </b><b>데뷔</b><b> </b><b>앨범은</b><b> </b><b>특별히</b><b> </b><b>장르를</b><b> </b><b>한정짓기</b><b> </b><b>어려운</b><b> </b><b>면이</b><b> </b><b>있다</b><b>. Funk, Jazz, Modern rock, Brit pop </b><b>을</b><b> </b><b>넘나드는</b><b> </b><b>그들의</b><b> </b><b>스펙트럼은</b><b> </b><b>다양한</b><b> </b><b>문화적</b><b> </b><b>배경을</b><b> </b><b>지닌</b><b> </b><b>뮤지션들의</b><b> </b><b>결합에</b><b> </b><b>기인한</b><b> </b><b>것이다</b><b>. </b>

<b> </b><!--:--><!--:en-->Pentasonic started as a rock band in March 2012. Fusing the influences of 5 individuals from 4 continents. They made sure that the band wasn't pigeon-holed to rock for very long and by early fall 2012, fuelled by a line up change where 5 became 4, the band had reinvented their sound with a different groove... a jazz/funk edge that still uses elements of modern rock, Brit-Pop and a range of other styles.

From the beginning the band have been Intent on writing, performing, recording and producing original music that doesn't fall into the standard ""indie"" category, the band have gone from strength to strength being quoted by the popular expat blog, Word From The ROK, as ""a band with something special and one not to be missed if you get the chance to see them live.""

August 2013 saw the band release their self-titled first album which is available to stream and download internationally from iTunes, as well as every domestic music distributor in Korea.

The band have enjoyed some exciting promotional experiences resulting from the release of their self-titled debut album including air play, and live performances on KBS Cool FM radio, TBS eFM (Korea's only foreign language station, EBS eFM.<!--:-->"	"alternative:Alternative,disco:Disco,funk:Funk,funky:Funky,indie-2:Indie,jazz:Jazz,rock:Rock"			"[fap_track id=""7458"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"PentaSonic"		"Pentasonicband@gmail.com"		"http://www.facebook.com/pentasonicband"	"https://itunes.apple.com/us/album/pentasonic/id691010845"	"unsigned"	"http://www.soundcloud.com/pentasonicband"	"http://www.twitter.com/pentasonic"		"watch?v=96aL9KgLJ-E"	"[69575,69576]"
"<!--:en-->MEMEME!<!--:--><!--:ko-->미미미!<!--:-->"		"electronic:Electronic"	"2014/02/IMG_90481.jpg"		"[fap_track id=""12385"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"MEMEME!"		1044943710		"http://www.facebook.com/bandmememe"		"unsigned"		"http://www.twitter.com/bandmememe"		"duhFccMNue8"	"[69323]"
"<!--:en-->Say Sue Me<!--:--><!--:ko-->세이수미<!--:-->"	"<!--:ko-->부산의 서프락 밴드 세이수미입니다<!--:--><!--:en-->surf rock band in Busan<!--:-->"		"2014/02/2.jpg"		"[fap_track id=""12374"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Say Sue Me"		"saysueme@gmail.com"		"https://www.facebook.com/SaySueMe1"		"unsigned"		"https://twitter.com/SaySueMe"		"DkS0aeVi2vo"	"[69289,69290,69291]"
"<!--:en-->Cranfield<!--:--><!--:ko-->크랜필드<!--:-->"	"<!--:ko-->크랜필드는 대한민국의 3인조 인디 팝 밴드이다. 2013년 9월 독립음악 제작사 북극곰 사운드와 계약, 2013년 11월 8일 첫 정규 앨범 밤의 악대를 발표했다.

이성혁 1984년생 - 보컬, 어쿠스틱/일렉 기타, 작사/곡

정광수 1985년생 - 베이스 기타

지수현 1984년생 - 드럼<!--:--><!--:en-->Korean Indie-pop band.

Cranfield released their first regular album [A Night's Band].

The album contains dreamy and weird 11 tracks that were made on the basis of their dreams and childhoods.<!--:-->"	"dream-pop:Dream Pop"	"2014/02/131014_cranfield_profile9489-copy.jpg"		"[fap_track id=""12378"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Cranfield"	"https://cranfield.bandcamp.com/album/a-nights-band"	"010-2756-1763"		"https://www.facebook.com/bandcranfield"	"http://www.melon.com/cds/album/web/albumdetailmain_list.htm?albumId=2214973"	"북극곰 사운드 Polar bear sound"		"https://twitter.com/bandcranfield"		"cjK374A6kwQ"	"[69257,69258,69259,69260]"
"<!--:en-->Monobarn<!--:--><!--:ko-->모노반<!--:-->"	"<!--:en-->I N D I E F O L K <br />
<br />
DAY1_Guitar & Vocal / Jifan_Cajon / George_Cello<!--:-->"	"folk:Folk"	"2013/06/monobarn.jpg"	"http://www.monobarn.com"	"[fap_track id=""2624"" layout=""list"" enqueue=""no"" auto_enqueue=""no""]"	"Monobarn"		"monobarn@gmail.com"		"https://www.facebook.com/monobanmusic?fref=ts"		"unsigned"				"lDRN0YrVlcg"	"[69073]"
