"<!--:ko-->스페이스 문<!--:--><!--:en-->Space Moon<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"spacemoonseoul@gmail.com","https://www.facebook.com/spacemoonseoul","010-3060-1683","http://twitter.com/spacemoonseoul","http://spacemoonseoul.wordpress.com/","54-41 Mullae-dong 3ga, yeongdeungpo-gu, Seoul, Korea"
"<!--:en-->Club FF<!--:--><!--:ko-->클럽 FF<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"ianbrown@naver.com","https://www.facebook.com/groups/clubff","010 9025 3407","https://twitter.com/clubFF_","http://www.2005clubff.cyworld.com/","마포구 서교동"
"<!--:en-->Evans<!--:--><!--:ko-->에반스<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울","http://blog.naver.com/evanslabel","reouomo@hotmail.com","https://www.facebook.com/clubevans","02-337-8361","https://twitter.com/evans_label","http://clubevans.com/","2F, 407-3, Seokyo-dong, Mapo-gu, Seoul, Korea 121-895"
"<!--:en-->Auteur<!--:--><!--:ko-->오뙤르<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울","http://cafe.naver.com/clubauteur","Auteurclub@gmail.com","https://www.facebook.com/clubAUTEUR","010-3449-6264","https://twitter.com/clubAUTEUR",,"마포구 서교동 367-36 作家(작가)빌딩 B1F, Seoul, Korea"
"<!--:en-->man is a prison , also prison!<!--:--><!--:ko-->사나이라면 감옥, 역시 감옥이지!<!--:-->",,,,"http://",,,,"서울 영등포구 문래동3가 54-41"
"<!--:en-->asdasD<!--:--><!--:ko-->sdsdsdad<!--:-->",,,,"http://",,,,"sdSDf"
"<!--:en-->Geek Live House<!--:--><!--:ko-->긱 (GEEK) 라이브하우스<!--:-->",,"http://blog.naver.com/geeklive","geeklive@naver.com","https://www.facebook.com/geeklivehouse","02-3141-5292",,"http://www.geeklivehouse.co.kr","서울시 마포구 동교동 185-10 지하, 121-818"
"<!--:en-->Yes24 Muv Hall<!--:--><!--:ko-->예스24 무브홀<!--:-->",,,,"https://www.facebook.com/yes24muvhall","010-3692-6082","https://twitter.com/Yes24Now",,"서울특별시 마포구 서교동 368-22 서문빌딩 지하1층"
"<!--:en-->AX Korea<!--:--><!--:ko-->AX Korea<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"axkorea_m@naver.com","https://www.facebook.com/AXKorea/","02-457-5114","https://twitter.com/axkorea","http://ax-korea.co.kr","서울특별시 광진구 광장동 319-33, Seoul, Korea 143-807"
"<!--:en-->C Cloud<!--:--><!--:ko-->씨클라우드<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울","http://cafe.naver.com/ccloudcs","ccloudcs@gmail.com","https://www.facebook.com/candlecloud","02-323-6646","https://twitter.com/candlecloud","http://www.ccloud.co.kr/","412-26 Hapjeong-dong, Mapo-gu, Seoul, South Korea"
"<!--:en-->Led Zeppelin<!--:--><!--:ko-->레드 제플린<!--:-->","jeonju-%ec%a0%84%ec%a3%bc:Jeonju 전주","http://cafe.daum.net/k250073",,,"018-607-6321",,,"Seoul"
"<!--:en-->Basement Pub<!--:--><!--:ko-->베이스먼트<!--:-->","busan-%eb%b6%80%ec%82%b0:Busan 부산",,,"https://www.facebook.com/groups/2403700123/",,,,"부산"
"<!--:en-->Urban<!--:--><!--:ko-->얼반 (Urban)<!--:-->","daegu-%eb%8c%80%ea%b5%ac:Daegu 대구",,"philan.gmm@gmail.com","https://www.facebook.com/groups/Urbanbar/","053) 423-2283",,,"대구 중구 삼덕동1가 18-1번지 지하 1층"
"<!--:en-->Vinyl Underground<!--:--><!--:ko-->바이널언더그라운드드<!--:-->","busan-%eb%b6%80%ec%82%b0:Busan 부산",,"atcrossroads@hanmail.net","https://www.facebook.com/vinylunderground.busan","010-6565-0645",,,"부산 남구 대연동 58-2번지"
"<!--:en-->Ol' 55<!--:--><!--:ko-->Ol' 55<!--:-->","busan-%eb%b6%80%ec%82%b0:Busan 부산",,"atcrossroads@hanmail.net","https://www.facebook.com/groups/246640638768470/","010-6565-0645",,,"부산 남구 대연동 60-4번지"
"<!--:en-->Rolling Hall<!--:--><!--:ko-->롤링홀<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울","http://cafe.daum.net/ROLLING",,"https://www.facebook.com/rollinghall1995","02-325-6071","https://twitter.com/theRolling","http://rollinghall.co.kr/main/index.php","서울 마포구 서교동 402-22"
"<!--:en-->Broken Teeth<!--:--><!--:ko-->망원동 부러진 이빨<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"persona985@gmail.com","https://www.facebook.com/BrokenTeethSeoul","010-2295-8443",,,"378-15 Mangwon-dong, Seoul, Korea"
"<!--:en-->Platoon Kunsthalle<!--:--><!--:ko-->플래툰 쿤스트할레<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"jinjoo@platoon.org","https://www.facebook.com/platoon.seoul","02 -3447-1191~7","https://twitter.com/platoon_seoul","http://www.kunsthalle.com/","97-22 Nonhyeon-dong, Gangnam-gu, Seoul, South Korea, Seoul, Korea"
"<!--:ko--> 서울살롱<!--:--><!--:en-->Seoul Salon<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"seoulsalon305@gmail.com","https://www.facebook.com/SeoulSalonProject","010-9090-6654",,"http://seoulsalon.tumblr.com","용산구 이태원 2동 305-4, Seoul, Korea 140-861"
"<!--:en-->Ruailrock<!--:--><!--:ko-->롸일락<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울","http://cafe.daum.net/ruailrock","han6609@gmail.com","http://www.facebook.com/ruailrock",1066090111,"https://twitter.com/ruailrock",,"서울시 마포구 서교동 402-3"
"<!--:ko-->로라이즈<!--:--><!--:en-->Lowrise<!--:-->","seoul-%ec%84%9c%ec%9a%b8:Seoul 서울",,"lowrise.seoul@gmail.com","https://www.facebook.com/LOWRISE.SEOUL",,"https://twitter.com/LOWRISE_SEOUL",,"문래동 3가 58-77 2층 안쪽문, Seoul, Korea 150-768"
